"'Адрес","'Код","'IP","'CR","'AR","'DR","'SP","'BR","'AC","'NZVC","'Адрес","'Новый код"
"'4E2","'0200","'4E3","'0200","'4E2","'0200","'000","'04E2","'0000","'0100"
"'4E3","'EE19","'4E4","'EE19","'4FD","'0000","'000","'0019","'0000","'0100","'4FD","'0000"
"'4E4","'AE16","'4E5","'AE16","'4FB","'FFF7","'000","'0016","'FFF7","'1000"
"'4E5","'0740","'4E6","'0740","'4E5","'0740","'000","'04E5","'FFF6","'1001"
"'4E6","'0C00","'4E7","'0C00","'7FF","'FFF6","'7FF","'04E6","'FFF6","'1001","'7FF","'FFF6"
"'4E7","'D673","'673","'D673","'7FE","'04E8","'7FE","'D673","'FFF6","'1001","'7FE","'04E8"
"'673","'AC01","'674","'AC01","'7FF","'FFF6","'7FE","'0001","'FFF6","'1001"
"'674","'F001","'675","'F001","'674","'F001","'7FE","'0674","'FFF6","'1001"
"'675","'F307","'676","'F307","'675","'F307","'7FE","'0675","'FFF6","'1001"
"'676","'7E09","'677","'7E09","'680","'FF11","'7FE","'0009","'FFF6","'0001"
"'677","'F805","'678","'F805","'677","'F805","'7FE","'0677","'FFF6","'0001"
"'678","'F004","'679","'F004","'678","'F004","'7FE","'0678","'FFF6","'0001"
"'679","'0500","'67A","'0500","'679","'FFF6","'7FE","'0679","'FFEC","'1001"
"'67A","'4C01","'67B","'4C01","'7FF","'FFF6","'7FE","'0001","'FFE2","'1001"
"'67B","'4E05","'67C","'4E05","'681","'008C","'7FE","'0005","'006E","'0001"
"'67C","'CE01","'67E","'CE01","'67C","'067E","'7FE","'0001","'006E","'0001"
"'67E","'EC01","'67F","'EC01","'7FF","'006E","'7FE","'0001","'006E","'0001","'7FF","'006E"
"'67F","'0A00","'4E8","'0A00","'7FE","'04E8","'7FF","'067F","'006E","'0001"
"'4E8","'0800","'4E9","'0800","'7FF","'006E","'000","'04E8","'006E","'0001"
"'4E9","'4E13","'4EA","'4E13","'4FD","'0000","'000","'0013","'006E","'0000"
"'4EA","'EE12","'4EB","'EE12","'4FD","'006E","'000","'0012","'006E","'0000","'4FD","'006E"
"'4EB","'AE0E","'4EC","'AE0E","'4FA","'01F4","'000","'000E","'01F4","'0000"
"'4EC","'0C00","'4ED","'0C00","'7FF","'01F4","'7FF","'04EC","'01F4","'0000","'7FF","'01F4"
"'4ED","'D673","'673","'D673","'7FE","'04EE","'7FE","'D673","'01F4","'0000","'7FE","'04EE"
"'673","'AC01","'674","'AC01","'7FF","'01F4","'7FE","'0001","'01F4","'0000"
"'674","'F001","'675","'F001","'674","'F001","'7FE","'0674","'01F4","'0000"
"'675","'F307","'67D","'F307","'675","'F307","'7FE","'0007","'01F4","'0000"
"'67D","'AE02","'67E","'AE02","'680","'FF11","'7FE","'0002","'FF11","'1000"
"'67E","'EC01","'67F","'EC01","'7FF","'FF11","'7FE","'0001","'FF11","'1000","'7FF","'FF11"
"'67F","'0A00","'4EE","'0A00","'7FE","'04EE","'7FF","'067F","'FF11","'1000"
"'4EE","'0800","'4EF","'0800","'7FF","'FF11","'000","'04EE","'FF11","'1000"
"'4EF","'0740","'4F0","'0740","'4EF","'0740","'000","'04EF","'FF10","'1001"
"'4F0","'6E0C","'4F1","'6E0C","'4FD","'006E","'000","'000C","'FEA2","'1001"
"'4F1","'EE0B","'4F2","'EE0B","'4FD","'FEA2","'000","'000B","'FEA2","'1001","'4FD","'FEA2"
"'4F2","'AE09","'4F3","'AE09","'4FC","'DCD8","'000","'0009","'DCD8","'1001"
"'4F3","'0C00","'4F4","'0C00","'7FF","'DCD8","'7FF","'04F3","'DCD8","'1001","'7FF","'DCD8"
"'4F4","'D673","'673","'D673","'7FE","'04F5","'7FE","'D673","'DCD8","'1001","'7FE","'04F5"
"'673","'AC01","'674","'AC01","'7FF","'DCD8","'7FE","'0001","'DCD8","'1001"
"'674","'F001","'675","'F001","'674","'F001","'7FE","'0674","'DCD8","'1001"
"'675","'F307","'676","'F307","'675","'F307","'7FE","'0675","'DCD8","'1001"
"'676","'7E09","'677","'7E09","'680","'FF11","'7FE","'0009","'DCD8","'1000"
"'677","'F805","'67D","'F805","'677","'F805","'7FE","'0005","'DCD8","'1000"
"'67D","'AE02","'67E","'AE02","'680","'FF11","'7FE","'0002","'FF11","'1000"
"'67E","'EC01","'67F","'EC01","'7FF","'FF11","'7FE","'0001","'FF11","'1000","'7FF","'FF11"
"'67F","'0A00","'4F5","'0A00","'7FE","'04F5","'7FF","'067F","'FF11","'1000"
"'4F5","'0800","'4F6","'0800","'7FF","'FF11","'000","'04F5","'FF11","'1000"
"'4F6","'0740","'4F7","'0740","'4F6","'0740","'000","'04F6","'FF10","'1001"
"'4F7","'4E05","'4F8","'4E05","'4FD","'FEA2","'000","'0005","'FDB2","'1001"
"'4F8","'EE04","'4F9","'EE04","'4FD","'FDB2","'000","'0004","'FDB2","'1001","'4FD","'FDB2"
"'4F9","'0100","'4FA","'0100","'4F9","'0100","'000","'04F9","'FDB2","'1001"